r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209919,   0.201064,  -0.697631,   0.686012,  
Y Velocity[A/fs],  -0.005928,   0.013627,  -0.012719,   0.032869, 
Z Velocity[A/fs],   0.005307,  -0.007842,   0.022700,  -0.020978,  
Speed[A/fs],   0.210070,   0.201678,   0.698116,   0.687119,  
 
r_seed=2,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207518,   0.203036,  -0.694464,   0.691030,  
Y Velocity[A/fs],  -0.000417,   0.003394,  -0.005737,  -0.017017, 
Z Velocity[A/fs],  -0.000872,  -0.007228,  -0.016957,   0.067255,  
Speed[A/fs],   0.207520,   0.203193,   0.694695,   0.694503,  
 
r_seed=3,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206396,   0.204228,  -0.692165,   0.688988,  
Y Velocity[A/fs],   0.023194,  -0.015354,  -0.008042,   0.001335, 
Z Velocity[A/fs],  -0.006735,   0.011581,  -0.006564,   0.012035,  
Speed[A/fs],   0.207804,   0.205132,   0.692243,   0.689095,  
 
r_seed=4,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208727,   0.202967,  -0.691606,   0.687435,  
Y Velocity[A/fs],   0.005452,  -0.009376,   0.011875,  -0.011977, 
Z Velocity[A/fs],   0.007719,  -0.003484,  -0.069436,  -0.042263,  
Speed[A/fs],   0.208941,   0.203213,   0.695184,   0.688837,  
 
r_seed=5,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.205400,   0.204742,  -0.694171,   0.695212,  
Y Velocity[A/fs],   0.002030,   0.008702,   0.025421,   0.011695, 
Z Velocity[A/fs],  -0.000860,  -0.007596,  -0.001088,   0.013111,  
Speed[A/fs],   0.205412,   0.205068,   0.694637,   0.695434,  
 
r_seed=6,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210126,   0.200839,  -0.695633,   0.687586,  
Y Velocity[A/fs],   0.008777,  -0.002588,   0.037884,  -0.017805, 
Z Velocity[A/fs],   0.014282,  -0.007735,   0.023926,  -0.010272,  
Speed[A/fs],   0.210794,   0.201004,   0.697075,   0.687893,  
 
r_seed=7,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.205826,   0.205226,  -0.692796,   0.687060,  
Y Velocity[A/fs],  -0.005369,  -0.002469,   0.034037,   0.011447, 
Z Velocity[A/fs],   0.006536,  -0.012919,  -0.026607,   0.080520,  
Speed[A/fs],   0.206000,   0.205647,   0.694141,   0.691857,  
 
r_seed=8,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209976,   0.202542,  -0.695761,   0.681540,  
Y Velocity[A/fs],  -0.003383,   0.002206,  -0.011565,  -0.072133, 
Z Velocity[A/fs],  -0.008198,   0.000939,   0.014530,  -0.025438,  
Speed[A/fs],   0.210164,   0.202556,   0.696008,   0.685818,  
 
r_seed=9,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207061,   0.202715,  -0.693968,   0.691831,  
Y Velocity[A/fs],  -0.005496,   0.007670,  -0.043133,   0.006721, 
Z Velocity[A/fs],   0.017515,  -0.010438,  -0.030387,  -0.020911,  
Speed[A/fs],   0.207873,   0.203128,   0.695971,   0.692179,  
 
r_seed=10,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.212330,   0.200641,  -0.694359,   0.679551,  
Y Velocity[A/fs],   0.001618,   0.001441,  -0.041184,  -0.052134, 
Z Velocity[A/fs],   0.004336,  -0.012188,  -0.000586,   0.051714,  
Speed[A/fs],   0.212381,   0.201016,   0.695580,   0.683507,  
 
r_seed=11,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209096,   0.202556,  -0.694190,   0.687702,  
Y Velocity[A/fs],   0.002346,  -0.004140,  -0.015188,  -0.001706, 
Z Velocity[A/fs],  -0.005367,  -0.004966,   0.064775,   0.002684,  
Speed[A/fs],   0.209178,   0.202659,   0.697371,   0.687709,  
 
r_seed=12,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207175,   0.203196,  -0.692628,   0.690828,  
Y Velocity[A/fs],   0.000847,   0.004202,  -0.015118,   0.042255, 
Z Velocity[A/fs],   0.016908,  -0.013155,  -0.027021,  -0.034711,  
Speed[A/fs],   0.207865,   0.203664,   0.693319,   0.692989,  
 
r_seed=13,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208450,   0.202653,  -0.696886,   0.686246,  
Y Velocity[A/fs],   0.000899,   0.006525,  -0.014429,  -0.030133, 
Z Velocity[A/fs],   0.001879,  -0.012373,   0.045092,   0.027487,  
Speed[A/fs],   0.208460,   0.203135,   0.698493,   0.687457,  
 
r_seed=14,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207586,   0.203560,  -0.694730,   0.688906,  
Y Velocity[A/fs],   0.008271,  -0.009363,   0.003999,   0.039132, 
Z Velocity[A/fs],  -0.000393,  -0.009779,  -0.032082,  -0.002771,  
Speed[A/fs],   0.207751,   0.204009,   0.695482,   0.690022,  
 
r_seed=15,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209903,   0.201159,  -0.696359,   0.684463,  
Y Velocity[A/fs],   0.012335,  -0.007515,   0.001372,  -0.017182, 
Z Velocity[A/fs],   0.012910,  -0.006096,  -0.003810,  -0.064587,  
Speed[A/fs],   0.210661,   0.201392,   0.696371,   0.687718,  
 
r_seed=16,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209607,   0.200807,  -0.695038,   0.688803,  
Y Velocity[A/fs],  -0.019717,   0.009932,   0.029341,   0.013696, 
Z Velocity[A/fs],   0.001401,  -0.009242,   0.019651,   0.014707,  
Speed[A/fs],   0.210537,   0.201265,   0.695934,   0.689096,  
 
r_seed=17,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.202359,   0.207949,  -0.691399,   0.696018,  
Y Velocity[A/fs],  -0.007266,   0.003339,   0.044251,  -0.023228, 
Z Velocity[A/fs],  -0.003552,  -0.000251,  -0.023342,  -0.020645,  
Speed[A/fs],   0.202521,   0.207976,   0.693206,   0.696711,  
 
r_seed=18,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206388,   0.206028,  -0.691253,   0.684545,  
Y Velocity[A/fs],  -0.002521,  -0.004710,   0.011313,   0.009759, 
Z Velocity[A/fs],   0.009405,  -0.013677,   0.021484,   0.076998,  
Speed[A/fs],   0.206618,   0.206535,   0.691679,   0.688931,  
 
r_seed=19,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207695,   0.202374,  -0.696537,   0.690369,  
Y Velocity[A/fs],  -0.003747,   0.004526,  -0.048266,   0.003656, 
Z Velocity[A/fs],  -0.004004,   0.010122,  -0.027430,  -0.036454,  
Speed[A/fs],   0.207768,   0.202678,   0.698746,   0.691341,  
 
r_seed=20,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.211217,   0.201140,  -0.693154,   0.685303,  
Y Velocity[A/fs],   0.001112,   0.003621,  -0.054217,  -0.000074, 
Z Velocity[A/fs],  -0.004912,  -0.006087,   0.015006,  -0.046321,  
Speed[A/fs],   0.211277,   0.201265,   0.695433,   0.686866,  
 
r_seed=21,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207844,   0.202694,  -0.695760,   0.686350,  
Y Velocity[A/fs],   0.001195,  -0.002839,   0.037337,   0.010614, 
Z Velocity[A/fs],   0.011618,  -0.014082,  -0.033044,   0.062607,  
Speed[A/fs],   0.208172,   0.203202,   0.697544,   0.689282,  
 
r_seed=22,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.213252,   0.197834,  -0.697744,   0.683519,  
Y Velocity[A/fs],   0.014454,  -0.014779,  -0.017238,  -0.001630, 
Z Velocity[A/fs],  -0.006781,   0.011166,  -0.007267,  -0.014383,  
Speed[A/fs],   0.213849,   0.198699,   0.697995,   0.683672,  
 
r_seed=23,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206333,   0.204786,  -0.693090,   0.685412,  
Y Velocity[A/fs],   0.000722,   0.008329,  -0.015989,   0.038615, 
Z Velocity[A/fs],  -0.011367,   0.016825,   0.016443,  -0.071328,  
Speed[A/fs],   0.206647,   0.205645,   0.693470,   0.690194,  
 
r_seed=24,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206265,   0.205099,  -0.690494,   0.692798,  
Y Velocity[A/fs],   0.009668,  -0.001600,  -0.013280,  -0.017466, 
Z Velocity[A/fs],   0.006184,   0.002971,  -0.052968,   0.010911,  
Speed[A/fs],   0.206584,   0.205127,   0.692650,   0.693104,  
 
r_seed=25,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210498,   0.200411,  -0.696258,   0.686739,  
Y Velocity[A/fs],  -0.012789,   0.000172,   0.010921,   0.034819, 
Z Velocity[A/fs],  -0.008200,   0.012677,   0.015099,  -0.028054,  
Speed[A/fs],   0.211046,   0.200812,   0.696507,   0.688193,  
 
r_seed=26,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210292,   0.200863,  -0.694280,   0.688871,  
Y Velocity[A/fs],  -0.000743,  -0.008439,   0.008235,  -0.015761, 
Z Velocity[A/fs],   0.008262,   0.000263,  -0.059343,   0.016209,  
Speed[A/fs],   0.210455,   0.201040,   0.696860,   0.689242,  
 
r_seed=27,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209911,   0.200958,  -0.698271,   0.686289,  
Y Velocity[A/fs],  -0.010818,   0.011434,   0.024576,   0.016777, 
Z Velocity[A/fs],   0.002446,   0.009061,  -0.016614,   0.002252,  
Speed[A/fs],   0.210204,   0.201486,   0.698901,   0.686498,  
 
r_seed=28,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206236,   0.205527,  -0.690067,   0.687174,  
Y Velocity[A/fs],  -0.004899,   0.002754,   0.035166,  -0.040776, 
Z Velocity[A/fs],  -0.012276,   0.019268,   0.029215,  -0.033777,  
Speed[A/fs],   0.206659,   0.206447,   0.691580,   0.689211,  
 
r_seed=29,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.205994,   0.204435,  -0.692509,   0.693670,  
Y Velocity[A/fs],  -0.000944,  -0.005547,   0.060712,   0.011090, 
Z Velocity[A/fs],   0.005109,   0.004418,  -0.024258,   0.018921,  
Speed[A/fs],   0.206060,   0.204558,   0.695589,   0.694016,  
 
r_seed=30,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210169,   0.201785,  -0.694493,   0.685061,  
Y Velocity[A/fs],  -0.002475,   0.012166,   0.028087,  -0.039352, 
Z Velocity[A/fs],  -0.001769,   0.014387,   0.001911,  -0.013653,  
Speed[A/fs],   0.210191,   0.202662,   0.695064,   0.686326,  
 
r_seed=31,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206073,   0.204876,  -0.693309,   0.689098,  
Y Velocity[A/fs],   0.005201,   0.001252,  -0.032761,  -0.000730, 
Z Velocity[A/fs],  -0.003482,   0.008353,  -0.051124,  -0.057906,  
Speed[A/fs],   0.206168,   0.205050,   0.695963,   0.691527,  
 
r_seed=32,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.211349,   0.200620,  -0.694959,   0.681516,  
Y Velocity[A/fs],   0.006074,  -0.009152,  -0.037068,   0.085185, 
Z Velocity[A/fs],   0.002186,   0.005683,  -0.009916,   0.010525,  
Speed[A/fs],   0.211448,   0.200909,   0.696017,   0.686899,  
 
r_seed=33,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206600,   0.204201,  -0.688534,   0.690059,  
Y Velocity[A/fs],   0.017789,  -0.011377,  -0.069172,  -0.009362, 
Z Velocity[A/fs],  -0.002487,   0.006522,   0.052090,  -0.028981,  
Speed[A/fs],   0.207379,   0.204622,   0.693958,   0.690731,  
 
r_seed=34,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.211038,   0.200386,  -0.696071,   0.684573,  
Y Velocity[A/fs],  -0.013665,   0.007905,  -0.003155,   0.046778, 
Z Velocity[A/fs],  -0.008466,   0.008974,  -0.017497,   0.019835,  
Speed[A/fs],   0.211649,   0.200743,   0.696298,   0.686456,  
 
r_seed=35,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210130,   0.200156,  -0.698489,   0.689528,  
Y Velocity[A/fs],  -0.005176,   0.005188,  -0.010307,  -0.037726, 
Z Velocity[A/fs],   0.006168,   0.000633,   0.014060,   0.018331,  
Speed[A/fs],   0.210285,   0.200224,   0.698707,   0.690803,  
 
r_seed=36,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208697,   0.202201,  -0.696271,   0.688116,  
Y Velocity[A/fs],  -0.001464,  -0.008067,   0.001553,   0.039399, 
Z Velocity[A/fs],  -0.001194,   0.008354,  -0.023672,  -0.042964,  
Speed[A/fs],   0.208705,   0.202534,   0.696675,   0.690580,  
 
r_seed=37,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208834,   0.201959,  -0.697059,   0.685625,  
Y Velocity[A/fs],  -0.006371,   0.008283,   0.019503,  -0.033739, 
Z Velocity[A/fs],  -0.013666,   0.015232,  -0.001838,   0.023542,  
Speed[A/fs],   0.209377,   0.202702,   0.697334,   0.686858,  
 
r_seed=38,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207871,   0.203727,  -0.689925,   0.693090,  
Y Velocity[A/fs],  -0.001938,   0.003120,   0.010918,   0.019179, 
Z Velocity[A/fs],   0.000413,   0.004246,   0.057822,  -0.003390,  
Speed[A/fs],   0.207880,   0.203795,   0.692430,   0.693363,  
 
r_seed=39,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.213531,   0.197802,  -0.699669,   0.682721,  
Y Velocity[A/fs],   0.001656,  -0.001132,   0.027180,  -0.033923, 
Z Velocity[A/fs],  -0.003783,   0.010987,  -0.029748,  -0.019426,  
Speed[A/fs],   0.213571,   0.198110,   0.700829,   0.683839,  
 
r_seed=40,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207901,   0.203161,  -0.691552,   0.689003,  
Y Velocity[A/fs],   0.008939,  -0.014966,   0.045605,   0.015685, 
Z Velocity[A/fs],  -0.013293,   0.007331,   0.029092,   0.026111,  
Speed[A/fs],   0.208517,   0.203844,   0.693664,   0.689676,  
 
