C4H10_14r3, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
C4H10_14r5, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.629270318280848, 2.771234352531813, 2.129921130828537, 1.911591052042458, 0.0005456378847476978, 0.002447371339141174, 0.04927385007047446, 0.002809156543878928, 0.000115705475202792, 0.001753090857044314, 0.001963381818058085, 0.001743066373310987, 0.002786391484174651, 0.0003133293988453361, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 29.000000, 26.500000, 27.500000, 28.500000, 28.500000, 28.000000, 29.000000, 28.500000, 26.500000, 
Density Sum, 8.505767834928537
X Velocity[A/fs], -0.133963, -0.0900055, 0.0948183, 0.136556, -0.204825, -0.518472, -0.915874, -0.169039, -0.521683, 0.52178, 0.177848, 0.370482, 0.376643, 0.926479,  
Y Velocity[A/fs],-0.116654, 0.117711, 0.125915, -0.110462, -0.888731, -0.184226, -0.084043, 0.189447, 0.773659, 0.778811, 0.173463, -0.762002, -0.216348, -0.0386151,  
Z Velocity[A/fs],0.0708381, -0.114981, 0.12282, -0.078641, -0.24658, 0.762637, -0.209999, -0.926221, 0.151492, -0.188725, 0.922145, 0.383628, -0.842252, 0.0825998,  
Speed[A/fs],0.191239, 0.187557, 0.199825, 0.192441, 0.944774, 0.940409, 0.943392, 0.96039, 0.945332, 0.956252, 0.955024, 0.930094, 0.947657, 0.930955, 

C4H10_14r9, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.181083581173453, 2.40528898484858, 2.064306519856613, 2.105771831842212, 0.001219060793841971, 0.0003285347497490457, 0.0001222783041995336, 0.001088652942840761, 0.006522862141846788, 0.0007911371360252639, 0.004325444032466476, 0.00626635379034419, 0.007736702705273424, 0.000174427510215281, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.500000, 31.000000, 28.000000, 28.500000, 29.000000, 29.000000, 28.000000, 28.500000, 28.000000, 26.500000, 
Density Sum, 8.785026371827659
X Velocity[A/fs], -0.158242, -0.0788747, 0.102423, 0.134632, -0.178588, -0.639122, -0.823392, -0.15866, -0.564622, 0.551164, 0.134729, 0.372843, 0.392759, 0.945707,  
Y Velocity[A/fs],-0.102776, 0.119862, 0.107747, -0.0995171, -0.89743, -0.0845424, -0.270535, 0.265979, 0.750651, 0.764724, 0.0789355, -0.815363, -0.131838, -0.0518983,  
Z Velocity[A/fs],0.0118918, -0.0991078, 0.129837, -0.0769041, -0.0215536, 0.66587, -0.379899, -0.891542, 0.0954806, -0.0786187, 0.928744, 0.314176, -0.860495, 0.080008,  
Speed[A/fs],0.189063, 0.174386, 0.197376, 0.184238, 0.91528, 0.926827, 0.946302, 0.943803, 0.944135, 0.94592, 0.94178, 0.950019, 0.955035, 0.950503, 

C4H10_14r11, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.168494317022014, 2.143687533258839, 2.122491786791878, 2.022569484809987, 0.0006351149064862355, 0.002823771609713847, 0.018906443373583, 0.0004899541149189077, 0.003410652279222101, 0.0008421061197147718, 0.002335762671052075, 0.004594251337021865, 0.00362963891365777, 4.283908022339505e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.500000, 30.000000, 27.000000, 28.000000, 29.000000, 29.000000, 28.000000, 28.000000, 30.500000, 27.000000, 
Density Sum, 8.49495365628831
X Velocity[A/fs], -0.151722, -0.0901597, 0.0961253, 0.135961, -0.216488, -0.532022, -0.901437, -0.100905, -0.536504, 0.541884, 0.0989687, 0.221748, 0.585995, 0.910116,  
Y Velocity[A/fs],-0.125381, 0.125648, 0.126895, -0.129395, -0.864509, -0.202713, -0.0684437, 0.247871, 0.771375, 0.767651, 0.28334, -0.881821, -0.161975, -0.0804561,  
Z Velocity[A/fs],0.0179933, -0.109629, 0.115723, -0.0101922, -0.316193, 0.742059, -0.306528, -0.91218, 0.137105, -0.129081, 0.901699, 0.283143, -0.692522, 0.256273,  
Speed[A/fs],0.197645, 0.189565, 0.19681, 0.187969, 0.945633, 0.935303, 0.954585, 0.950628, 0.949555, 0.948466, 0.950336, 0.952339, 0.921528, 0.948925, 

C4H10_14r20, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.311716641864916, 2.207481735528879, 2.430698714518216, 2.081086189803959, 0.001161067746519014, 0.001029855644418948, 0.01398617981849463, 0.0003088574783824588, 0.001482966069998081, 0.0002357766478462752, 0.0007358398592258305, 0.001852843871849452, 9.965378996546987e-05, 1.679879940602184e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 29.000000, 30.000000, 26.500000, 28.000000, 29.000000, 29.000000, 27.500000, 28.500000, 29.500000, 27.000000, 
Density Sum, 9.051893121442076
X Velocity[A/fs], -0.130253, -0.083651, 0.0938688, 0.12255, -0.26804, -0.483181, -0.913357, -0.0384333, -0.563557, 0.561519, 0.0846248, 0.220827, 0.512979, 0.893449,  
Y Velocity[A/fs],-0.118729, 0.127132, 0.103072, -0.102779, -0.75081, -0.295776, -0.015659, 0.327205, 0.736993, 0.7449, 0.215126, -0.846225, -0.183894, -0.116611,  
Z Velocity[A/fs],0.033197, -0.0918231, 0.126956, -0.0661112, -0.471905, 0.733398, -0.189403, -0.885254, 0.165955, -0.144384, 0.917093, 0.280192, -0.758561, 0.249686,  
Speed[A/fs],0.179345, 0.17774, 0.188555, 0.173068, 0.926421, 0.926725, 0.93292, 0.944571, 0.942494, 0.943941, 0.94578, 0.918352, 0.934012, 0.934983, 

C4H10_14r8, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.692461593226581, 2.309588316700753, 2.336220352829478, 2.069767199939702, 0.0005837562616837763, 0.002811062397077316, 0.01646627064392837, 0.0004508140115234417, 0.002312096244638377, 0.0005636809815355513, 0.002277915167719555, 0.002475974285265125, 0.0002120908704269114, 0.000116524636914893, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.500000, 29.500000, 27.000000, 28.000000, 29.000000, 29.000000, 28.000000, 28.500000, 29.500000, 26.500000, 
Density Sum, 8.436307648197227
X Velocity[A/fs], -0.15565, -0.0923815, 0.0893761, 0.154794, -0.201792, -0.488962, -0.911941, -0.113373, -0.584546, 0.583228, 0.149481, 0.240907, 0.381586, 0.952614,  
Y Velocity[A/fs],-0.120534, 0.134103, 0.129364, -0.11513, -0.857679, -0.231204, -0.115505, 0.277067, 0.740399, 0.746375, 0.245739, -0.806555, -0.304461, -0.0597871,  
Z Velocity[A/fs],0.0143876, -0.11678, 0.11387, -0.00383111, -0.336171, 0.770611, -0.249572, -0.917936, 0.156033, -0.0986121, 0.913417, 0.444011, -0.786253, 0.0796116,  
Speed[A/fs],0.197389, 0.200389, 0.194138, 0.192953, 0.94305, 0.941478, 0.952504, 0.965519, 0.956155, 0.952342, 0.957634, 0.95169, 0.925472, 0.957803, 

C4H10_14r19, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.005943591376894, 2.586105389272833, 1.848430590771768, 2.196145409005032, 0.0006867455760497081, 0.002969845573469031, 0.01670075666282691, 0.0003186221672834167, 0.002747905556752198, 0.003339333923170705, 0.001878424886924717, 0.002566164795700144, 0.0008313801658434824, 3.813679330856354e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.500000, 30.000000, 27.000000, 28.000000, 30.000000, 28.500000, 28.000000, 28.500000, 29.000000, 27.000000, 
Density Sum, 8.668702296527856
X Velocity[A/fs], -0.152471, -0.079059, 0.111847, 0.133453, -0.146036, -0.542696, -0.882183, -0.177047, -0.607649, 0.547079, 0.0835657, 0.287237, 0.455454, 0.927732,  
Y Velocity[A/fs],-0.114711, 0.127541, 0.129411, -0.113265, -0.852884, -0.215222, -0.188859, 0.277339, 0.689805, 0.778504, 0.163273, -0.836738, -0.171785, -0.0405538,  
Z Velocity[A/fs],0.0180975, -0.0996561, 0.118494, -0.0542333, -0.320918, 0.71969, -0.28717, -0.899296, 0.204888, -0.0518154, 0.926983, 0.330846, -0.806999, 0.179442,  
Speed[A/fs],0.19166, 0.180134, 0.208081, 0.183249, 0.92289, 0.926711, 0.946774, 0.957599, 0.941832, 0.952916, 0.944954, 0.944508, 0.942441, 0.945797, 

C4H10_14r12, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.162521103631638, 2.282591032208409, 2.343038719724114, 2.118499776554875, 0.0006399826733079969, 0.006502336107044291, 0.04097360687671457, 0.0007195124109665194, 0.0001921045460404841, 0.000403407929563379, 0.003107726968017791, 0.00324241703116634, 0.0003644252232375154, 6.981254841865e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 29.500000, 26.500000, 28.000000, 28.500000, 29.500000, 28.000000, 28.500000, 29.500000, 27.000000, 
Density Sum, 8.962865964433517
X Velocity[A/fs], -0.128175, -0.101569, 0.0869348, 0.139645, -0.201263, -0.515068, -0.917849, -0.0517415, -0.535596, 0.61473, 0.113116, 0.231069, 0.479944, 0.916816,  
Y Velocity[A/fs],-0.133764, 0.133764, 0.13409, -0.111485, -0.866308, -0.181027, -0.0172673, 0.183947, 0.780032, 0.710753, 0.210724, -0.823358, -0.244892, -0.0989273,  
Z Velocity[A/fs],0.00939607, -0.0927516, 0.0996025, -0.00566546, -0.304097, 0.751443, -0.239319, -0.915587, 0.119485, -0.120516, 0.910842, 0.365771, -0.758398, 0.21142,  
Speed[A/fs],0.185499, 0.191864, 0.188304, 0.178779, 0.939932, 0.928834, 0.948693, 0.935314, 0.953724, 0.94741, 0.941718, 0.930107, 0.930315, 0.946063, 

C4H10_14r18, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.889837251117281, 2.430375915656332, 2.262122684300841, 2.154192660334236, 0.0004399083807390301, 0.00251458630088791, 0.01790642640804964, 0.0004558244605236054, 0.0001021905651820802, 0.0006857405647367362, 0.00305462214898927, 0.002799789468512579, 0.002832136742239109, 0.0001686998900043307, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.500000, 29.000000, 27.000000, 28.000000, 28.500000, 29.000000, 28.000000, 28.500000, 28.500000, 26.500000, 
Density Sum, 8.767488436338555
X Velocity[A/fs], -0.136837, -0.100749, 0.0975682, 0.128003, -0.24575, -0.49513, -0.894226, -0.198133, -0.522238, 0.573961, 0.230835, 0.281346, 0.457914, 0.922906,  
Y Velocity[A/fs],-0.110229, 0.108408, 0.10852, -0.101706, -0.856834, -0.0710107, -0.166945, 0.220542, 0.781818, 0.751785, 0.0530429, -0.851407, -0.0845373, -0.0962139,  
Z Velocity[A/fs],0.072933, -0.110188, 0.109377, -0.0735217, -0.271375, 0.813476, -0.232579, -0.901895, 0.129407, -0.0244154, 0.914634, 0.253934, -0.810399, 0.112478,  
Speed[A/fs],0.190247, 0.18451, 0.182372, 0.179261, 0.931773, 0.954955, 0.938937, 0.949374, 0.949062, 0.946155, 0.944804, 0.931951, 0.934654, 0.9347, 

C4H10_14r15, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.021399291424849, 2.086856768324673, 2.133065159012711, 1.857102458639419, 0.00316590926244918, 0.0004173593693749754, 0.08531808160334119, 0.001139401931694352, 0.003424164990189234, 0.004445504675797737, 0.003202555880240958, 0.003679630661010629, 0.0002256273714887306, 0.0002032987639690791, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 29.000000, 28.000000, 26.500000, 28.000000, 29.000000, 28.500000, 28.000000, 27.500000, 30.000000, 26.500000, 
Density Sum, 8.20364521191121
X Velocity[A/fs], -0.142239, -0.108027, 0.0984989, 0.146023, -0.315847, -0.308621, -0.963369, -0.127225, -0.583211, 0.555953, 0.0709533, 0.197201, 0.54166, 0.935996,  
Y Velocity[A/fs],-0.11322, 0.114161, 0.155023, -0.141536, -0.781104, -0.315755, -0.0147344, 0.135687, 0.755, 0.784174, 0.259027, -0.911373, -0.217871, -0.0874484,  
Z Velocity[A/fs],0.0732067, -0.13804, 0.0988509, -0.00899374, -0.436751, 0.865584, -0.0665739, -0.950037, 0.167538, -0.148213, 0.928286, 0.260554, -0.741522, 0.186769,  
Speed[A/fs],0.195985, 0.209183, 0.20858, 0.203558, 0.949017, 0.971691, 0.965779, 0.968074, 0.968622, 0.972614, 0.966357, 0.968183, 0.943779, 0.958445, 

C4H10_14r13, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.079259541323813, 1.943965872248525, 2.368961429977923, 1.954298561114111, 0.0008904064299750446, 0.005188959015374399, 0.01397935836191475, 0.0005138910377776346, 0.004388111965923751, 0.003630313263054782, 0.002023053523055722, 0.002801821154540027, 0.0003420776602616313, 0.007327056499424489, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 29.500000, 27.000000, 28.000000, 29.500000, 28.500000, 28.000000, 28.000000, 30.000000, 27.500000, 
Density Sum, 8.387570453575671
X Velocity[A/fs], -0.134784, -0.0930908, 0.099775, 0.133022, -0.250173, -0.499334, -0.906155, -0.101, -0.589469, 0.51037, 0.123364, 0.210643, 0.623193, 0.884951,  
Y Velocity[A/fs],-0.128683, 0.144329, 0.104804, -0.116318, -0.849456, -0.259837, -0.11113, 0.308774, 0.71066, 0.817039, 0.0831148, -0.898084, -0.0277977, -0.129903,  
Z Velocity[A/fs],0.013664, -0.105118, 0.135277, -0.0836191, -0.359157, 0.754671, -0.274564, -0.905037, 0.234727, -0.0536523, 0.936267, 0.187082, -0.706059, 0.279556,  
Speed[A/fs],0.186849, 0.201362, 0.198088, 0.195492, 0.955591, 0.941476, 0.953337, 0.961579, 0.952685, 0.964836, 0.94801, 0.941236, 0.942158, 0.937104, 

